epb_exporter_id,company_name,sector_tags,factory_address,thana,district,n_observed_codes,n_observed_hs4,n_hs_chapters,capability_breadth_index,source_registry,source_url,source_retrieved_date,evidence_status,confidence_grade,privacy_scope,observed_hs4_count,observed_hs2_count,capability_breadth_percentile,multi_chapter_observed,capability_interpretation,inference_limit
1210,ALITA (BD) LIMITED,Bicycle,"CEPZ, Chattogram-4223",EPZ,Chittagong,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1210,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
5410,Akij-Bicycle Industries Ltd.,Bicycle,"Gorai, Momin Nagar, Mirzapur",Mirzapur,Tangail,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/5410,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
2732,Corvo Cycles Ltd.,Bicycle,"Plot 43/46, Sector 01, Karnaphuli EPZ, North Patenga",Potenga,Chittagong,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/2732,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
796,M&U Cycles Ltd.,Bicycle,Dhanua,Sreepur,Gazipur,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/796,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
2036,Meghna Bangladesh Limited,Bicycle,"Mulaid, Sreepur, Gazipur",Sreepur,Gazipur,4,4,2,0.5286,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/2036,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,4,2,0.6964285714285714,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
3658,Uuniglory Cycle Components Ltd.,Bicycle,"Shirirchala, Bhobanipur",Gazipur Sadar,Gazipur,3,3,1,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/3658,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,1,0.5535714285714286,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4418,Rangpur Metal Industries Ltd. Unit-2,Bicycle Parts;Bicycle,"Habiganj Industrial Park, Olipur, Shahjibazar",Shayestaganj,Habiganj,5,5,2,0.5885,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4418,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,5,2,0.7857142857142857,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
3714,Akij Ceramics Limited,Ceramic Goods,MUKKHOPUR,Trishal,Mymensingh,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/3714,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
2391,MEGHNA CERAMIC INDUSTRIES LTD.,Ceramic Goods,"Ashariarchor, New Town",Sonargaon,Narayanganj,3,3,1,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/2391,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,1,0.5535714285714286,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4922,Mahin Cycle Industries Ltd,Complete Bicycle;Bicycle Parts,"D, Shirirchala, Bhabanipur, Joydevpur",Joydebpur,Gazipur,5,5,2,0.5885,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4922,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,5,2,0.7857142857142857,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
