epb_exporter_id,company_name,observed_hs_code,observed_digits,hs4,hs2,link_type,link_confidence,source_url,source_retrieved_date
549,BANGA PLASTIC INTERNATIONAL LTD,3924,4,3924,39,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/549,2026-09-03
549,BANGA PLASTIC INTERNATIONAL LTD,3926,4,3926,39,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/549,2026-09-03
549,BANGA PLASTIC INTERNATIONAL LTD,9403,4,9403,94,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/549,2026-09-03
566,Leather Industries of Bangladesh Ltd.,4104,4,4104,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
566,Leather Industries of Bangladesh Ltd.,4107,4,4107,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
566,Leather Industries of Bangladesh Ltd.,4202,4,4202,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
566,Leather Industries of Bangladesh Ltd.,4203,4,4203,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
566,Leather Industries of Bangladesh Ltd.,4205,4,4205,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
566,Leather Industries of Bangladesh Ltd.,6406,4,6406,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/566,2026-09-03
796,M&U Cycles Ltd.,8712,4,8712,87,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/796,2026-09-03
1051,The ACME Laboratories Ltd.,3006,4,3006,30,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1051,2026-09-03
1210,ALITA (BD) LIMITED,8712,4,8712,87,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1210,2026-09-03
1280,JARA FOOTWEAR LIMITED,4102,4,4102,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4104,4,4104,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4105,4,4105,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4106,4,4106,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4107,4,4107,41,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4202,4,4202,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,4205,4,4205,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,6401,4,6401,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,6402,4,6402,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,6403,4,6403,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,6404,4,6404,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1280,JARA FOOTWEAR LIMITED,6405,4,6405,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1280,2026-09-03
1526,Export Trade Associate,5303,4,5303,53,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1526,2026-09-03
1526,Export Trade Associate,5307,4,5307,53,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1526,2026-09-03
1526,Export Trade Associate,5310,4,5310,53,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1526,2026-09-03
1526,Export Trade Associate,6305,4,6305,63,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1526,2026-09-03
1642,APPAREL EXPORT LTD,6201,4,6201,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6202,4,6202,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6203,4,6203,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6204,4,6204,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6205,4,6205,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6206,4,6206,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6207,4,6207,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6208,4,6208,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6209,4,6209,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6210,4,6210,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6211,4,6211,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6212,4,6212,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6213,4,6213,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6214,4,6214,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6215,4,6215,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
